-Q19164038	P304	"233–235, 246–248, 264–267"
-Q19164038	P433	"15–17"
Q62611298	P1433	Q655617	P304	"588–591"	P304	"605-608"	P433	"41–42"	P577	+1859-01-01T00:00:00Z	S143	Q15522295	S4656	"http://www.wikidata.org/reference/6ab28bc1f6191652731726c8bc9fda19ac7265d2"
-Q62610618	P304	"9-11; 97-99"
-Q62610618	P433	"1; 7"
Q62610618	P304	"9-11"	P433	"1"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/ce240f330851cfffc56eb50dfd5c5ea2059eb9d9"
Q62610618	P433	"1"	P304	"9-11"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/ce240f330851cfffc56eb50dfd5c5ea2059eb9d9"
Q62610618	P304	"97-99"	P433	"7"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/ce240f330851cfffc56eb50dfd5c5ea2059eb9d9"
Q62610618	P433	"7"	P304	"97-99"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/ce240f330851cfffc56eb50dfd5c5ea2059eb9d9"
Q62610618	P1433	Q655617	P304	"9-11"	P304	"97-99"	P433	"1; 7"	P577	+1857-01-01T00:00:00Z	S143	Q15522295	S4656	"http://www.wikidata.org/reference/ce240f330851cfffc56eb50dfd5c5ea2059eb9d9"
-Q62610770	P304	"461-463, 473-479"
-Q62610770	P433	"34–35"
Q62610770	P304	"461-463"	P433	"34"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/d47f1363ed68bc2bfb1d01b1c1ddf93ebb8f9dfe"
Q62610770	P433	"34"	P304	"461-463"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/d47f1363ed68bc2bfb1d01b1c1ddf93ebb8f9dfe"
Q62610770	P304	"473-479"	P433	"35"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/d47f1363ed68bc2bfb1d01b1c1ddf93ebb8f9dfe"
Q62610770	P433	"35"	P304	"473-479"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/d47f1363ed68bc2bfb1d01b1c1ddf93ebb8f9dfe"
Q62610770	P1433	Q655617	P304	"461-463"	P304	"473-479"	P433	"34–35"	P577	+1857-01-01T00:00:00Z	S143	Q15522295	S4656	"http://www.wikidata.org/reference/d47f1363ed68bc2bfb1d01b1c1ddf93ebb8f9dfe"
-Q62610578	P304	"440–442, 458–460"
-Q62610578	P433	"32–33"
Q62610578	P304	"440–442"	P433	"32"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/eedf0ff026e8acde5e6a9a136ca5068c1aca3fd6"
Q62610578	P433	"32"	P304	"440–442"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/eedf0ff026e8acde5e6a9a136ca5068c1aca3fd6"
Q62610578	P304	"458–460"	P433	"33"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/eedf0ff026e8acde5e6a9a136ca5068c1aca3fd6"
Q62610578	P433	"33"	P304	"458–460"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/eedf0ff026e8acde5e6a9a136ca5068c1aca3fd6"
Q62610578	P1433	Q655617	P304	"440–442"	P304	"458–460"	P433	"32–33"	P577	+1857-01-01T00:00:00Z	S143	Q15522295	S4656	"http://www.wikidata.org/reference/eedf0ff026e8acde5e6a9a136ca5068c1aca3fd6"
-Q62613075	P304	"661–664, 681–684, 707–712"
-Q62613075	P433	"40–42"
Q62613075	P304	"661–664"	P433	"40"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/c72e3b210c3fdbc50b67e812fa9ab9003044c754"
Q62613075	P433	"40"	P304	"661–664"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/c72e3b210c3fdbc50b67e812fa9ab9003044c754"
Q62613075	P304	"681–684"	P433	"41"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/c72e3b210c3fdbc50b67e812fa9ab9003044c754"
Q62613075	P433	"41"	P304	"681–684"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/c72e3b210c3fdbc50b67e812fa9ab9003044c754"
Q62613075	P304	"707–712"	P433	"42"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/c72e3b210c3fdbc50b67e812fa9ab9003044c754"
Q62613075	P433	"42"	P304	"707–712"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/c72e3b210c3fdbc50b67e812fa9ab9003044c754"
Q62613075	P1433	Q655617	P304	"661–664"	P304	"681–684"	P304	"707–712"	P433	"40–42"	P577	+1871-01-01T00:00:00Z	S143	Q15522295	S4656	"http://www.wikidata.org/reference/c72e3b210c3fdbc50b67e812fa9ab9003044c754"
-Q62613823	P304	"746–749, 760–762"
-Q62613823	P433	"46–47"
Q62613823	P304	"746–749"	P433	"46"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/ca7f54d2cf415d47da472ca5e2465ed70cde0799"
Q62613823	P433	"46"	P304	"746–749"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/ca7f54d2cf415d47da472ca5e2465ed70cde0799"
Q62613823	P304	"760–762"	P433	"47"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/ca7f54d2cf415d47da472ca5e2465ed70cde0799"
Q62613823	P433	"47"	P304	"760–762"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/ca7f54d2cf415d47da472ca5e2465ed70cde0799"
Q62613823	P1433	Q655617	P304	"746–749"	P304	"760–762"	P433	"46–47"	P577	+1873-01-01T00:00:00Z	S143	Q15522295	S4656	"http://www.wikidata.org/reference/ca7f54d2cf415d47da472ca5e2465ed70cde0799"
-Q62613856	P304	"111–113; 126–128"
-Q62613856	P433	"7–8"
Q62613856	P304	"111–113"	P433	"7"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/5b64158722b379f1f2b8862d94f4d1524920ed5c"
Q62613856	P433	"7"	P304	"111–113"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/5b64158722b379f1f2b8862d94f4d1524920ed5c"
Q62613856	P304	"126–128"	P433	"8"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/5b64158722b379f1f2b8862d94f4d1524920ed5c"
Q62613856	P433	"8"	P304	"126–128"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/5b64158722b379f1f2b8862d94f4d1524920ed5c"
Q62613856	P1433	Q655617	P304	"111–113"	P304	"126–128"	P433	"7–8"	P577	+1873-01-01T00:00:00Z	S143	Q15522295	S4656	"http://www.wikidata.org/reference/5b64158722b379f1f2b8862d94f4d1524920ed5c"
-Q19214206	P304	"153–156;165–170"
-Q19214206	P433	"12–13"
Q19214206	P304	"153–156"	P433	"12"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/c05c6935e54f9f5ab39fa6f2313bb9c0dc87f491"
Q19214206	P433	"12"	P304	"153–156"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/c05c6935e54f9f5ab39fa6f2313bb9c0dc87f491"
Q19214206	P304	"165–170"	P433	"13"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/c05c6935e54f9f5ab39fa6f2313bb9c0dc87f491"
Q19214206	P433	"13"	P304	"165–170"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/c05c6935e54f9f5ab39fa6f2313bb9c0dc87f491"
Q19214206	P1433	Q655617	P304	"153–156"	P304	"165–170"	P433	"12–13"	P577	+1856-01-01T00:00:00Z	S143	Q15522295	S4656	"http://www.wikidata.org/reference/c05c6935e54f9f5ab39fa6f2313bb9c0dc87f491"
-Q62615411	P304	"1–4, 21–26, 41–46, 57–60, 73–76, 89–92, 113–116"
-Q62615411	P433	"1–7"
Q62615411	P304	"1–4"	P433	"1"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/6edd67d58f2a11dbba7b013e2bd3a9108632b7bb"
Q62615411	P433	"1"	P304	"1–4"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/6edd67d58f2a11dbba7b013e2bd3a9108632b7bb"
Q62615411	P304	"21–26"	P433	"2"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/6edd67d58f2a11dbba7b013e2bd3a9108632b7bb"
Q62615411	P433	"2"	P304	"21–26"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/6edd67d58f2a11dbba7b013e2bd3a9108632b7bb"
Q62615411	P304	"41–46"	P433	"3"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/6edd67d58f2a11dbba7b013e2bd3a9108632b7bb"
Q62615411	P433	"3"	P304	"41–46"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/6edd67d58f2a11dbba7b013e2bd3a9108632b7bb"
Q62615411	P304	"57–60"	P433	"4"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/6edd67d58f2a11dbba7b013e2bd3a9108632b7bb"
Q62615411	P433	"4"	P304	"57–60"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/6edd67d58f2a11dbba7b013e2bd3a9108632b7bb"
Q62615411	P304	"73–76"	P433	"5"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/6edd67d58f2a11dbba7b013e2bd3a9108632b7bb"
Q62615411	P433	"5"	P304	"73–76"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/6edd67d58f2a11dbba7b013e2bd3a9108632b7bb"
Q62615411	P304	"89–92"	P433	"6"	S143	Q15522295	S4656	"http://www.wikidata.org/reference/6edd67d58f2a11dbba7b013e2bd3a9108632b7bb"
